,Application,Category Tags,Color B,Color Code,Color G,Color R,Company,Model Name,Model Number,Origin Country,Product URL,Type,Filename
101,Wall,,212.0,#F6E4D4,228.0,246.0,Nippon,Autumn White,NP OW 1027 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1027-p/autumn-white,Paint,NP OW 1027 P.png
102,Wall,,212.0,#F5E4D4,228.0,245.0,Nippon,Pink Puff,NP OW 1028 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1028-p/pink-puff,Paint,NP OW 1028 P.png
103,Wall,,205.0,#F6E6CD,230.0,246.0,Nippon,Soft Pulp,NP OW 1019 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1019-p/soft-pulp,Paint,NP OW 1019 P.png
104,Wall,,203.0,#F0E0CB,224.0,240.0,Nippon,Nature's Way,NP OW 2194 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2194-p/nature's-way,Paint,NP OW 2194 P.png
105,Wall,,208.0,#F6E6D0,230.0,246.0,Nippon,Porcelain,NP OW 2195 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2195-p/porcelain,Paint,NP OW 2195 P.png
106,Wall,,197.0,#EDDEC5,222.0,237.0,Nippon,Magnolia,NP OW 2196 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2196-p/magnolia,Paint,NP OW 2196 P.png
107,Wall,,209.0,#EEE3D1,227.0,238.0,Nippon,Swanlike,NP OW 1021 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1021-p/swanlike,Paint,NP OW 1021 P.png
108,Wall,,203.0,#E3D9CB,217.0,227.0,Nippon,Enchanted,NP OW 2197 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2197-p/enchanted,Paint,NP OW 2197 P.png
109,Wall,,200.0,#E4D9C8,217.0,228.0,Nippon,Castle Wall,NP OW 2198 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2198-p/castle-wall,Paint,NP OW 2198 P.png
110,Wall,,222.0,#F1EADE,234.0,241.0,Nippon,Chalk White,NP OW 2199 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2199-p/chalk-white,Paint,NP OW 2199 P.png
111,Wall,,225.0,#F3EDE1,237.0,243.0,Nippon,Cotton White,NP OW 2200 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2200-p/cotton-white,Paint,NP OW 2200 P.png
112,Wall,,226.0,#F4EDE2,237.0,244.0,Nippon,Dawn White,NP OW 2201 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2201-p/dawn-white,Paint,NP OW 2201 P.png
113,Wall,,224.0,#F1EAE0,234.0,241.0,Nippon,Stove White,NP OW 2202 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2202-p/stove-white,Paint,NP OW 2202 P.png
114,Wall,,219.0,#F3EADB,234.0,243.0,Nippon,Rose White,NP OW 2203 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2203-p/rose-white,Paint,NP OW 2203 P.png
115,Wall,,214.0,#F1E6D6,230.0,241.0,Nippon,Almond Bits,NP OW 2204 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2204-p/almond-bits,Paint,NP OW 2204 P.png
